"[Município]","Cód. IBGE","UF","Região","Fabricante","Total de doses aplicadas","1ª Dose D1","2ª Dose D2","Dose Adicional DA","Dose Reforço DR","Dose Única DU"
"Arapiraca","00000000270030","AL","Nordeste","BUTANTAN/SINOVAC","47,678","24,777","22,900","0","1","0"
"Arapiraca","00000000270030","AL","Nordeste","FIOCRUZ/ASTRAZENECA","107,845","53,280","49,569","9","4,987","0"
"Arapiraca","00000000270030","AL","Nordeste","JANSSEN","5,175","0","0","27","1,283","3,865"
"Arapiraca","00000000270030","AL","Nordeste","PFIZER/BIONTECH","186,547","91,423","63,755","448","30,921","0"
"Arapoti","00000000410160","PR","Sul","BUTANTAN/SINOVAC","8,518","4,494","4,022","0","2","0"
"Arapoti","00000000410160","PR","Sul","JANSSEN","970","0","0","14","344","612"
"Arapoti","00000000410160","PR","Sul","PFIZER/BIONTECH","22,271","9,126","7,039","17","6,089","0"
"Arapuá","00000000310380","MG","Sudeste","BUTANTAN/SINOVAC","1,570","799","771","0","0","0"
"Arapuá","00000000310380","MG","Sudeste","FIOCRUZ/ASTRAZENECA","2,075","1,042","1,033","0","0","0"
"Arapuá","00000000310380","MG","Sudeste","JANSSEN","127","0","0","0","56","71"
"Arapuá","00000000310380","MG","Sudeste","PFIZER/BIONTECH","2,817","813","714","10","1,280","0"
"Arapuã","00000000410165","PR","Sul","BUTANTAN/SINOVAC","1,874","949","925","0","0","0"
"Arapuã","00000000410165","PR","Sul","FIOCRUZ/ASTRAZENECA","2,527","1,217","1,188","1","121","0"
"Arapuã","00000000410165","PR","Sul","JANSSEN","61","0","0","0","21","40"
"Arapuã","00000000410165","PR","Sul","PFIZER/BIONTECH","2,645","967","786","4","888","0"
"Araputanga","00000000510125","MT","Centro-Oeste","BUTANTAN/SINOVAC","3,904","2,137","1,766","0","1","0"
"Araputanga","00000000510125","MT","Centro-Oeste","FIOCRUZ/ASTRAZENECA","14,479","7,635","6,840","1","3","0"
"Araputanga","00000000510125","MT","Centro-Oeste","JANSSEN","561","0","0","1","222","338"
